type,code,codeIsin,date
SEC,WHEAT,null,2012-05-28T08:00:00Z,1
SEC,WHEAT,null,2012-07-04T08:00:00Z,1
SEC,WHEAT,null,2012-09-03T08:00:00Z,1
SEC,WHEAT,null,2012-11-22T09:00:00Z,1
SEC,WHEAT,null,2013-01-21T09:00:00Z,1
SEC,WHEAT,null,2013-02-18T09:00:00Z,1
SEC,WHEAT,null,2013-05-27T08:00:00Z,1
SEC,WHEAT,null,2013-09-02T08:00:00Z,1
SEC,WHEAT,null,2013-11-28T09:00:00Z,1
SEC,WHEAT,null,2014-01-20T09:00:00Z,1
SEC,WHEAT,null,2014-02-17T09:00:00Z,1
SEC,WHEAT,null,2014-05-26T08:00:00Z,1
SEC,WHEAT,null,2014-07-04T08:00:00Z,1
SEC,WHEAT,null,2014-09-01T08:00:00Z,1
SEC,WHEAT,null,2015-01-19T09:00:00Z,1
SEC,WHEAT,null,2015-02-16T09:00:00Z,1
SEC,WHEAT,null,2015-05-25T08:00:00Z,1
SEC,WHEAT,null,2015-09-07T08:00:00Z,1
SEC,WHEAT,null,2015-11-26T09:00:00Z,1
SEC,WHEAT,null,2016-01-18T09:00:00Z,1
SEC,WHEAT,null,2016-02-15T09:00:00Z,1
SEC,WHEAT,null,2016-05-30T08:00:00Z,1
SEC,WHEAT,null,2016-07-04T08:00:00Z,1
SEC,WHEAT,null,2016-09-05T08:00:00Z,1
SEC,EURI1M,null,2011-06-23T08:00:00Z,1
SEC,EURI1M,null,2012-12-24T09:00:00Z,1
SEC,EURI1M,null,2013-12-27T09:00:00Z,1
SEC,EURI1M,null,2016-02-04T09:00:00Z,1
SEC,SPRI1Y,null,2010-10-29T08:00:00Z,20
SEC,SPRI1Y,null,2010-11-01T09:00:00Z,20
SEC,SPRI1Y,null,2010-12-24T09:00:00Z,1
SEC,SPRI1Y,null,2010-12-31T09:00:00Z,1
SEC,CORN,null,2010-11-25T09:00:00Z,1
SEC,CORN,null,2011-02-21T09:00:00Z,1
SEC,CORN,null,2011-11-24T09:00:00Z,1
SEC,CORN,null,2012-01-16T09:00:00Z,1
SEC,CORN,null,2012-02-20T09:00:00Z,1
SEC,CORN,null,2012-05-28T08:00:00Z,1
SEC,CORN,null,2012-07-04T08:00:00Z,1
SEC,CORN,null,2012-09-03T08:00:00Z,1
SEC,CORN,null,2012-11-22T09:00:00Z,1
SEC,CORN,null,2013-01-21T09:00:00Z,1
SEC,CORN,null,2013-02-18T09:00:00Z,1
SEC,CORN,null,2013-05-27T08:00:00Z,1
SEC,CORN,null,2013-09-02T08:00:00Z,1
SEC,CORN,null,2013-11-28T09:00:00Z,1
SEC,CORN,null,2014-01-20T09:00:00Z,1
SEC,CORN,null,2014-02-17T09:00:00Z,1
SEC,CORN,null,2014-05-26T08:00:00Z,1
SEC,CORN,null,2014-07-04T08:00:00Z,1
SEC,CORN,null,2014-09-01T08:00:00Z,1
SEC,CORN,null,2015-01-19T09:00:00Z,1
SEC,CORN,null,2015-02-16T09:00:00Z,1
SEC,CORN,null,2015-05-25T08:00:00Z,1
SEC,CORN,null,2015-09-07T08:00:00Z,1
SEC,CORN,null,2015-11-26T09:00:00Z,1
SEC,CORN,null,2016-02-15T09:00:00Z,1
SEC,CORN,null,2016-05-30T08:00:00Z,1
SEC,CORN,null,2016-07-04T08:00:00Z,1
SEC,CORN,null,2016-09-05T08:00:00Z,1
SEC,ITRI1Y,null,2010-12-24T09:00:00Z,1
SEC,ITRI1Y,null,2010-12-31T09:00:00Z,1
SEC,CHRI10Y,null,2010-12-23T09:00:00Z,1
SEC,CHRI10Y,null,2011-01-03T09:00:00Z,1
SEC,CHRI10Y,null,2011-02-02T09:00:00Z,1
SEC,CHRI10Y,null,2011-02-03T09:00:00Z,1
SEC,CHRI10Y,null,2011-02-04T09:00:00Z,1
SEC,CHRI10Y,null,2011-02-07T09:00:00Z,1
SEC,CHRI10Y,null,2011-02-08T09:00:00Z,1
SEC,CHRI10Y,null,2011-04-04T08:00:00Z,1
SEC,CHRI10Y,null,2011-04-05T08:00:00Z,1
SEC,CHRI10Y,null,2011-05-02T08:00:00Z,1
SEC,CHRI10Y,null,2011-06-06T08:00:00Z,1
SEC,CHRI10Y,null,2011-09-12T08:00:00Z,1
SEC,CHRI10Y,null,2011-10-03T08:00:00Z,1
SEC,CHRI10Y,null,2011-10-04T08:00:00Z,1
SEC,CHRI10Y,null,2011-10-05T08:00:00Z,1
SEC,CHRI10Y,null,2011-10-06T08:00:00Z,1
SEC,CHRI10Y,null,2011-10-07T08:00:00Z,1
SEC,CHRI10Y,null,2012-01-02T09:00:00Z,1
SEC,CHRI10Y,null,2012-01-03T09:00:00Z,1
SEC,CHRI10Y,null,2012-01-23T09:00:00Z,1
SEC,CHRI10Y,null,2012-01-24T09:00:00Z,1
SEC,CHRI10Y,null,2012-01-25T09:00:00Z,1
SEC,CHRI10Y,null,2012-01-26T09:00:00Z,1
SEC,CHRI10Y,null,2012-01-27T09:00:00Z,1
SEC,CHRI10Y,null,2012-04-02T08:00:00Z,1
SEC,CHRI10Y,null,2012-04-03T08:00:00Z,1
SEC,CHRI10Y,null,2012-04-04T08:00:00Z,1
SEC,CHRI10Y,null,2012-04-30T08:00:00Z,1
SEC,CHRI10Y,null,2012-06-22T08:00:00Z,1
SEC,CHRI10Y,null,2012-10-01T08:00:00Z,1
SEC,CHRI10Y,null,2012-10-02T08:00:00Z,1
SEC,CHRI10Y,null,2012-10-03T08:00:00Z,1
SEC,CHRI10Y,null,2012-10-04T08:00:00Z,1
SEC,CHRI10Y,null,2012-10-05T08:00:00Z,1
SEC,CHRI10Y,null,2013-01-02T09:00:00Z,1
SEC,CHRI10Y,null,2013-01-03T09:00:00Z,1
SEC,CHRI10Y,null,2013-02-11T09:00:00Z,1
SEC,CHRI10Y,null,2013-02-12T09:00:00Z,1
SEC,CHRI10Y,null,2013-02-15T09:00:00Z,1
SEC,CHRI10Y,null,2013-04-04T08:00:00Z,1
SEC,CHRI10Y,null,2013-04-05T08:00:00Z,1
SEC,CHRI10Y,null,2013-04-30T08:00:00Z,1
SEC,CHRI10Y,null,2013-06-10T08:00:00Z,1
SEC,CHRI10Y,null,2013-06-11T08:00:00Z,1
SEC,CHRI10Y,null,2013-06-12T08:00:00Z,1
SEC,CHRI10Y,null,2013-09-19T08:00:00Z,1
SEC,CHRI10Y,null,2013-09-20T08:00:00Z,1
SEC,CHRI10Y,null,2013-10-01T08:00:00Z,1
SEC,CHRI10Y,null,2013-10-02T08:00:00Z,1
